,id,created_at,original_text,clean_text,polarity,subjectivity,favorite_count,retweet_count,possibly_sensitive,hashtags,user_mentions,place
40,1281676455936700416,Fri Jul 10 19:47:34 +0000 2020,@aqi__x G R O W T H ❤️❤️❤️❤️❤️❤️❤️❤️,G R O W T H,0.0,0.0,0,1,,,,"Cape Town, South Africa"
41,1264161664766705665,Sat May 23 11:50:02 +0000 2020,I miss hearing you say this 😭 esp on the dums table 😭. https://t.co/N527tOfBuL,I miss hearing say esp dums table,0.0,0.0,1,1,False,,,
42,1249146817356484610,Sun Apr 12 01:26:23 +0000 2020,@ShakiiraHarris it really be like that 😭😭😭😭,really like,0.2,0.2,1,0,,,ShakiiraHarris,
43,1264165448679030784,Sat May 23 12:05:04 +0000 2020,@Liam_Cue has to be one of us 🤣,one us,0.0,0.0,1,0,,,Liam_Cue,
44,1262702926360969216,Tue May 19 11:13:32 +0000 2020,"@Eesaa_allie @ImaadGvr Yes , yes I would actually 😔",Yes yes I would actually,0.0,0.1,0,0,,,"Eesaa_allie, ImaadGvr",
45,1281721609359962113,Fri Jul 10 22:46:59 +0000 2020,@aqi__x Mb the brah has 500 followers and has 24k tweets auj😭😭😭😭😭,Mb brah followers k tweets auj,0.0,0.0,1,0,,,,
46,1259725134090338305,Mon May 11 06:00:51 +0000 2020,yes I’m holding my stomach so you don’t see how much I’ve picked up 💀😚🦋. https://t.co/g5GtMwIVAj,yes Im holding stomach dont see much Ive picked,0.2,0.2,243,13,False,,,
47,1249146179532787712,Sun Apr 12 01:23:51 +0000 2020,@aqi__x So do my efforts 🙂🙂🙂,So efforts,0.0,0.0,1,0,,,,"Cape Town, South Africa"
48,1284498040729022467,Sat Jul 18 14:39:32 +0000 2020,@aqi__x @hazygems There's always an exception to the rule,There 's always exception rule,0.0,0.0,1,0,,,hazygems,"Elsies River, South Africa"
49,1264166839774588929,Sat May 23 12:10:36 +0000 2020,@aqi__x 😤😤 but don't judge me. I was slatting Milo's left right and centre,n't judge I slatting Milo 's left right centre,0.14285714285714285,0.26785714285714285,0,0,,,,"Cape Town, South Africa"
50,1262703660909371392,Tue May 19 11:16:27 +0000 2020,@Eesaa_allie ima give my soul for a carton only 🙄,ima give soul carton,0.0,0.0,0,0,,,Eesaa_allie,
51,1264163567537983488,Sat May 23 11:57:36 +0000 2020,@aqi__x I'm not sure if it was baby shaak but I remember I was talking so much trash on the table that I once told someone for a Muslim you vrieting alot of vark on this table ne.. yoh I felt so sleg afterwards that I had to apologize afterwards,I 'm sure baby shaak I remember I talking much trash table I told someone Muslim vrieting alot vark table ne.. yoh I felt sleg afterwards I apologize afterwards,0.35,0.5444444444444444,2,0,,,,"Cape Town, South Africa"
