,tweet_text,tweet_date,retweet_count,favorite_count
2guleOfficial,b'RT @GameStop: We are pleased to announce that further quantities of PS5 consoles will be made available to pre-order at https://t.co/hfsGYT\xe2\x80\xa6',Fri Sep 25 10:12:12 +0000 2020,4617,0
DansonKimutai,"b'RT @elyon_rosafi: Hellow family\n@WillisRaburu , @JalangoMwenyewe , @mzaziwillytuva, @djruffkenya , @djlebzkenya, @mwendemacharia1 , @Clemmo\xe2\x80\xa6'",Wed Sep 30 02:46:17 +0000 2020,2,0
NellyMuluka,b'RT @EzekielMutua: Press Statement by the @InfoKfcb CEO @EzekielMutua during the launch of the Working Committee for the Maadili Awards Comp\xe2\x80\xa6',Thu Oct 01 15:42:55 +0000 2020,35,0
Crystal_Fishy,b'RT @archillect: https://t.co/ujW6usm8QC',Fri Oct 02 04:52:43 +0000 2020,155,0
markday331,b'#NeverMoreNeeded https://t.co/jGHDFynrRe',Thu Oct 01 16:19:06 +0000 2020,0,0
Roby41262525,b'SpaceX set to launch Space Force GPS satellite on Friday #SpaceX via https://t.co/vBsHOsqluy https://t.co/srGXVm3l27',Fri Oct 02 04:20:04 +0000 2020,0,0
SakilaSamike,b'RT @mshambuliaji: Kocha wa Mamelod Sundowds ya Afrika Kusini Boss Pitso Mosimane amejiuzulu kuifundisha Mamelod Sundowns na kujiunga na Al\xe2\x80\xa6',Wed Sep 30 09:16:09 +0000 2020,4,0
pauguste2016,b'RT @nursingdean: #Research and #inquiry have always been the heartbeat of #universities. We need accurate  #business models. These driving\xe2\x80\xa6',Thu Oct 01 13:25:55 +0000 2020,9,0
A_Malenya,b'RT @GaryLineker: Twitter in 4 minutes.',Fri Sep 18 19:23:02 +0000 2020,1759,0
Konemoheavy,b'RT @TheSaItIsHere: Man City fans swear UEFA have some elaborate agenda against them and then they get drawn against teams from Uzbekistan e\xe2\x80\xa6',Fri Oct 02 05:40:12 +0000 2020,1695,0
DuncanBakka,b'@felmaestro29 @Lutalo_njaga @jmivule1 Omuyaaye depo ze zamulema okugala',Sun Sep 27 06:52:05 +0000 2020,0,1
Inno_Vol_Ke,"b'RT @HMolinValdes: On the #WorldCleanAirDay: achieving #SDG7\xe2\x80\x93affordable energy for all-is key, beyond distribution of clean cooking solution\xe2\x80\xa6'",Tue Sep 29 14:37:02 +0000 2020,14,0
PMugoMugo,b'RT @KeNHAKenya: This iconic fig tree sits right at the center of the Nairobi Expressway operation area. We have planned to transplant and r\xe2\x80\xa6',Thu Oct 01 15:20:51 +0000 2020,479,0
Humpedaa,b'RT @TheSphereHunter: Suzi Brea For The 3rd Birthday Video - By .@DrossDrawings https://t.co/TMaJ2tkhtX',Sat Sep 26 21:01:00 +0000 2020,189,0
membaibrahim,"b'RT @Petaurum: Do you have a plan of action to help achieve your long-term or overall business goals? \xf0\x9f\x9a\x80\nAs SO much has changed lately, your\xe2\x80\xa6'",Tue Aug 11 15:19:38 +0000 2020,5,0
Eco1stArt,b'RT @ruben_arce_s: 4 ways #AI is helping to feed the #hungry while saving the Planet: @Forbes\n\n#innovation #SDGs #hunger #food #TechNews #Di\xe2\x80\xa6',Fri Oct 02 05:33:48 +0000 2020,10,0
EstherMulin,b'RT @drpaulkasenene: Have you heard of monk fruit? It is a natural and healthy alternative to table sugar and all the other synthetic sweete\xe2\x80\xa6',Thu Oct 01 13:48:26 +0000 2020,18,0
