,Unnamed: 0,id,created_at,clean_text,hashtags,place,timeline
471,306,1.30361E+18,2020-09-09 08:31:52+00:00,Few slots remaining Follow link register,"CleanAirForAll, Nairobi, AirPollution, cleanenergy","Ngong, Kenya",post
472,307,1.31138E+18,2020-09-30 19:14:55+00:00,"Data recent World Bank study show Lagos Nigeria residents paying high price study estimates air pollution resulted 11,200 premature deaths 2018 alone","airpollution, nigeria",,post
473,308,1.30361E+18,2020-09-09 08:31:52+00:00,Few slots remaining Follow link register,"CleanAirForAll, Nairobi, AirPollution, cleanenergy","Ngong, Kenya",post
474,309,1.31138E+18,2020-09-30 19:14:55+00:00,"Data recent World Bank study show Lagos Nigeria residents paying high price study estimates air pollution resulted 11,200 premature deaths 2018 alone","airpollution, nigeria",,post
475,310,1.30361E+18,2020-09-09 08:31:52+00:00,Few slots remaining Follow link register,"CleanAirForAll, Nairobi, AirPollution, cleanenergy","Ngong, Kenya",post
476,311,1.31138E+18,2020-09-30 19:14:55+00:00,"Data recent World Bank study show Lagos Nigeria residents paying high price study estimates air pollution resulted 11,200 premature deaths 2018 alone","airpollution, nigeria",,post
477,312,1.30361E+18,2020-09-09 08:31:52+00:00,Few slots remaining Follow link register,"CleanAirForAll, Nairobi, AirPollution, cleanenergy","Ngong, Kenya",post
478,313,1.31138E+18,2020-09-30 19:14:55+00:00,"Data recent World Bank study show Lagos Nigeria residents paying high price study estimates air pollution resulted 11,200 premature deaths 2018 alone","airpollution, nigeria",,post
479,314,1.30361E+18,2020-09-09 08:31:52+00:00,Few slots remaining Follow link register,"CleanAirForAll, Nairobi, AirPollution, cleanenergy","Ngong, Kenya",post
480,315,1.31138E+18,2020-09-30 19:14:55+00:00,"Data recent World Bank study show Lagos Nigeria residents paying high price study estimates air pollution resulted 11,200 premature deaths 2018 alone","airpollution, nigeria",,post
481,316,1.30361E+18,2020-09-09 08:31:52+00:00,Few slots remaining Follow link register,"CleanAirForAll, Nairobi, AirPollution, cleanenergy","Ngong, Kenya",post
482,317,1.30432E+18,2020-09-11 07:38:51+00:00,Happening H.E Hon Lee Kinyanjui The effects Energy Health Nexus become serious focus recent days,"REWG202, energy, AirQuality, Health, CleanAirForAll","Ngong, Kenya",post
483,318,1.31138E+18,2020-09-30 19:14:55+00:00,"Data recent World Bank study show Lagos Nigeria residents paying high price study estimates air pollution resulted 11,200 premature deaths 2018 alone","airpollution, nigeria",,post
484,319,1.30361E+18,2020-09-09 08:31:52+00:00,Few slots remaining Follow link register,"CleanAirForAll, Nairobi, AirPollution, cleanenergy","Ngong, Kenya",post
485,320,1.30432E+18,2020-09-11 07:38:51+00:00,Happening H.E Hon Lee Kinyanjui The effects Energy Health Nexus become serious focus recent days,"REWG202, energy, AirQuality, Health, CleanAirForAll","Ngong, Kenya",post
486,321,1.31119E+18,2020-09-30 06:30:00+00:00,Emissions transport sector major contributor climate change significant impact air quality What done mitigate issue Read,"transport, ClimateChange, cleanair",,post
487,322,1.31138E+18,2020-09-30 19:14:55+00:00,"Data recent World Bank study show Lagos Nigeria residents paying high price study estimates air pollution resulted 11,200 premature deaths 2018 alone","airpollution, nigeria",,post
488,323,1.30361E+18,2020-09-09 08:31:52+00:00,Few slots remaining Follow link register,"CleanAirForAll, Nairobi, AirPollution, cleanenergy","Ngong, Kenya",post
489,324,1.30432E+18,2020-09-11 07:38:51+00:00,Happening H.E Hon Lee Kinyanjui The effects Energy Health Nexus become serious focus recent days,"REWG202, energy, AirQuality, Health, CleanAirForAll","Ngong, Kenya",post
490,325,1.31119E+18,2020-09-30 06:30:00+00:00,Emissions transport sector major contributor climate change significant impact air quality What done mitigate issue Read,"transport, ClimateChange, cleanair",,post
491,326,1.31138E+18,2020-09-30 19:14:55+00:00,"Data recent World Bank study show Lagos Nigeria residents paying high price study estimates air pollution resulted 11,200 premature deaths 2018 alone","airpollution, nigeria",,post
492,327,1.30361E+18,2020-09-09 08:31:52+00:00,Few slots remaining Follow link register,"CleanAirForAll, Nairobi, AirPollution, cleanenergy","Ngong, Kenya",post
493,328,1.30432E+18,2020-09-11 07:38:51+00:00,Happening H.E Hon Lee Kinyanjui The effects Energy Health Nexus become serious focus recent days,"REWG202, energy, AirQuality, Health, CleanAirForAll","Ngong, Kenya",post
494,329,1.31119E+18,2020-09-30 06:30:00+00:00,Emissions transport sector major contributor climate change significant impact air quality What done mitigate issue Read,"transport, ClimateChange, cleanair",,post
495,330,1.31127E+18,2020-09-30 11:59:45+00:00,LIGHT IT UP,"TheJamSession, FreshAIR, WCW, WednesdayVibes, WednesdayWisdom, WednesdayThoughts, WednesdayMotivation, FinePeopleFromKenya, BlackLivesMatter",,post
496,331,1.31127E+18,2020-09-30 11:58:12+00:00,BMO,"TheJamSession, FreshAIR, WCW, WednesdayVibes, WednesdayWisdom, WednesdayThoughts, WednesdayMotivation, FinePeopleFromKenya, BlackLivesMatter",,post
497,332,1.31138E+18,2020-09-30 19:14:55+00:00,"Data recent World Bank study show Lagos Nigeria residents paying high price study estimates air pollution resulted 11,200 premature deaths 2018 alone","airpollution, nigeria",,post
498,333,1.30361E+18,2020-09-09 08:31:52+00:00,Few slots remaining Follow link register,"CleanAirForAll, Nairobi, AirPollution, cleanenergy","Ngong, Kenya",post
499,334,1.30432E+18,2020-09-11 07:38:51+00:00,Happening H.E Hon Lee Kinyanjui The effects Energy Health Nexus become serious focus recent days,"REWG202, energy, AirQuality, Health, CleanAirForAll","Ngong, Kenya",post
500,335,1.31119E+18,2020-09-30 06:30:00+00:00,Emissions transport sector major contributor climate change significant impact air quality What done mitigate issue Read,"transport, ClimateChange, cleanair",,post
501,336,1.31127E+18,2020-09-30 11:59:45+00:00,LIGHT IT UP,"TheJamSession, FreshAIR, WCW, WednesdayVibes, WednesdayWisdom, WednesdayThoughts, WednesdayMotivation, FinePeopleFromKenya, BlackLivesMatter",,post
502,337,1.31127E+18,2020-09-30 11:58:12+00:00,BMO,"TheJamSession, FreshAIR, WCW, WednesdayVibes, WednesdayWisdom, WednesdayThoughts, WednesdayMotivation, FinePeopleFromKenya, BlackLivesMatter",,post
503,338,1.31195E+18,2020-10-02 08:24:35+00:00,trapping dust particulates,,,post
504,339,1.31138E+18,2020-09-30 19:14:55+00:00,"Data recent World Bank study show Lagos Nigeria residents paying high price study estimates air pollution resulted 11,200 premature deaths 2018 alone","airpollution, nigeria",,post
505,340,1.30361E+18,2020-09-09 08:31:52+00:00,Few slots remaining Follow link register,"CleanAirForAll, Nairobi, AirPollution, cleanenergy","Ngong, Kenya",post
506,341,1.30432E+18,2020-09-11 07:38:51+00:00,Happening H.E Hon Lee Kinyanjui The effects Energy Health Nexus become serious focus recent days,"REWG202, energy, AirQuality, Health, CleanAirForAll","Ngong, Kenya",post
507,342,1.31119E+18,2020-09-30 06:30:00+00:00,Emissions transport sector major contributor climate change significant impact air quality What done mitigate issue Read,"transport, ClimateChange, cleanair",,post
508,343,1.31127E+18,2020-09-30 11:59:45+00:00,LIGHT IT UP,"TheJamSession, FreshAIR, WCW, WednesdayVibes, WednesdayWisdom, WednesdayThoughts, WednesdayMotivation, FinePeopleFromKenya, BlackLivesMatter",,post
509,344,1.31127E+18,2020-09-30 11:58:12+00:00,BMO,"TheJamSession, FreshAIR, WCW, WednesdayVibes, WednesdayWisdom, WednesdayThoughts, WednesdayMotivation, FinePeopleFromKenya, BlackLivesMatter",,post
510,345,1.31195E+18,2020-10-02 08:24:35+00:00,trapping dust particulates,,,post
511,346,1.31138E+18,2020-09-30 19:14:55+00:00,"Data recent World Bank study show Lagos Nigeria residents paying high price study estimates air pollution resulted 11,200 premature deaths 2018 alone","airpollution, nigeria",,post
512,347,1.30361E+18,2020-09-09 08:31:52+00:00,Few slots remaining Follow link register,"CleanAirForAll, Nairobi, AirPollution, cleanenergy","Ngong, Kenya",post
513,348,1.30432E+18,2020-09-11 07:38:51+00:00,Happening H.E Hon Lee Kinyanjui The effects Energy Health Nexus become serious focus recent days,"REWG202, energy, AirQuality, Health, CleanAirForAll","Ngong, Kenya",post
514,349,1.31119E+18,2020-09-30 06:30:00+00:00,Emissions transport sector major contributor climate change significant impact air quality What done mitigate issue Read,"transport, ClimateChange, cleanair",,post
515,350,1.31127E+18,2020-09-30 11:59:45+00:00,LIGHT IT UP,"TheJamSession, FreshAIR, WCW, WednesdayVibes, WednesdayWisdom, WednesdayThoughts, WednesdayMotivation, FinePeopleFromKenya, BlackLivesMatter",,post
516,351,1.31127E+18,2020-09-30 11:58:12+00:00,BMO,"TheJamSession, FreshAIR, WCW, WednesdayVibes, WednesdayWisdom, WednesdayThoughts, WednesdayMotivation, FinePeopleFromKenya, BlackLivesMatter",,post
517,352,1.31195E+18,2020-10-02 08:24:35+00:00,trapping dust particulates,,,post
518,353,1.31138E+18,2020-09-30 19:14:55+00:00,"Data recent World Bank study show Lagos Nigeria residents paying high price study estimates air pollution resulted 11,200 premature deaths 2018 alone","airpollution, nigeria",,post
519,354,1.30361E+18,2020-09-09 08:31:52+00:00,Few slots remaining Follow link register,"CleanAirForAll, Nairobi, AirPollution, cleanenergy","Ngong, Kenya",post
520,355,1.30432E+18,2020-09-11 07:38:51+00:00,Happening H.E Hon Lee Kinyanjui The effects Energy Health Nexus become serious focus recent days,"REWG202, energy, AirQuality, Health, CleanAirForAll","Ngong, Kenya",post
521,356,1.31119E+18,2020-09-30 06:30:00+00:00,Emissions transport sector major contributor climate change significant impact air quality What done mitigate issue Read,"transport, ClimateChange, cleanair",,post
522,357,1.31127E+18,2020-09-30 11:59:45+00:00,LIGHT IT UP,"TheJamSession, FreshAIR, WCW, WednesdayVibes, WednesdayWisdom, WednesdayThoughts, WednesdayMotivation, FinePeopleFromKenya, BlackLivesMatter",,post
523,358,1.31127E+18,2020-09-30 11:58:12+00:00,BMO,"TheJamSession, FreshAIR, WCW, WednesdayVibes, WednesdayWisdom, WednesdayThoughts, WednesdayMotivation, FinePeopleFromKenya, BlackLivesMatter",,post
524,359,1.31195E+18,2020-10-02 08:24:35+00:00,trapping dust particulates,,,post
525,360,1.31138E+18,2020-09-30 19:14:55+00:00,"Data recent World Bank study show Lagos Nigeria residents paying high price study estimates air pollution resulted 11,200 premature deaths 2018 alone","airpollution, nigeria",,post
526,361,1.30361E+18,2020-09-09 08:31:52+00:00,Few slots remaining Follow link register,"CleanAirForAll, Nairobi, AirPollution, cleanenergy","Ngong, Kenya",post
527,362,1.30432E+18,2020-09-11 07:38:51+00:00,Happening H.E Hon Lee Kinyanjui The effects Energy Health Nexus become serious focus recent days,"REWG202, energy, AirQuality, Health, CleanAirForAll","Ngong, Kenya",post
528,363,1.31119E+18,2020-09-30 06:30:00+00:00,Emissions transport sector major contributor climate change significant impact air quality What done mitigate issue Read,"transport, ClimateChange, cleanair",,post
529,364,1.31127E+18,2020-09-30 11:59:45+00:00,LIGHT IT UP,"TheJamSession, FreshAIR, WCW, WednesdayVibes, WednesdayWisdom, WednesdayThoughts, WednesdayMotivation, FinePeopleFromKenya, BlackLivesMatter",,post
530,365,1.31127E+18,2020-09-30 11:58:12+00:00,BMO,"TheJamSession, FreshAIR, WCW, WednesdayVibes, WednesdayWisdom, WednesdayThoughts, WednesdayMotivation, FinePeopleFromKenya, BlackLivesMatter",,post
531,366,1.31195E+18,2020-10-02 08:24:35+00:00,trapping dust particulates,,,post
532,367,1.31138E+18,2020-09-30 19:14:55+00:00,"Data recent World Bank study show Lagos Nigeria residents paying high price study estimates air pollution resulted 11,200 premature deaths 2018 alone","airpollution, nigeria",,post
533,368,1.30361E+18,2020-09-09 08:31:52+00:00,Few slots remaining Follow link register,"CleanAirForAll, Nairobi, AirPollution, cleanenergy","Ngong, Kenya",post
534,369,1.30432E+18,2020-09-11 07:38:51+00:00,Happening H.E Hon Lee Kinyanjui The effects Energy Health Nexus become serious focus recent days,"REWG202, energy, AirQuality, Health, CleanAirForAll","Ngong, Kenya",post
535,370,1.31119E+18,2020-09-30 06:30:00+00:00,Emissions transport sector major contributor climate change significant impact air quality What done mitigate issue Read,"transport, ClimateChange, cleanair",,post
536,371,1.31127E+18,2020-09-30 11:59:45+00:00,LIGHT IT UP,"TheJamSession, FreshAIR, WCW, WednesdayVibes, WednesdayWisdom, WednesdayThoughts, WednesdayMotivation, FinePeopleFromKenya, BlackLivesMatter",,post
537,372,1.31127E+18,2020-09-30 11:58:12+00:00,BMO,"TheJamSession, FreshAIR, WCW, WednesdayVibes, WednesdayWisdom, WednesdayThoughts, WednesdayMotivation, FinePeopleFromKenya, BlackLivesMatter",,post
538,373,1.31195E+18,2020-10-02 08:24:35+00:00,trapping dust particulates,,,post
539,374,1.31138E+18,2020-09-30 19:14:55+00:00,"Data recent World Bank study show Lagos Nigeria residents paying high price study estimates air pollution resulted 11,200 premature deaths 2018 alone","airpollution, nigeria",,post
540,375,1.30361E+18,2020-09-09 08:31:52+00:00,Few slots remaining Follow link register,"CleanAirForAll, Nairobi, AirPollution, cleanenergy","Ngong, Kenya",post
541,376,1.30432E+18,2020-09-11 07:38:51+00:00,Happening H.E Hon Lee Kinyanjui The effects Energy Health Nexus become serious focus recent days,"REWG202, energy, AirQuality, Health, CleanAirForAll","Ngong, Kenya",post
542,377,1.31119E+18,2020-09-30 06:30:00+00:00,Emissions transport sector major contributor climate change significant impact air quality What done mitigate issue Read,"transport, ClimateChange, cleanair",,post
543,378,1.31127E+18,2020-09-30 11:59:45+00:00,LIGHT IT UP,"TheJamSession, FreshAIR, WCW, WednesdayVibes, WednesdayWisdom, WednesdayThoughts, WednesdayMotivation, FinePeopleFromKenya, BlackLivesMatter",,post
544,379,1.31127E+18,2020-09-30 11:58:12+00:00,BMO,"TheJamSession, FreshAIR, WCW, WednesdayVibes, WednesdayWisdom, WednesdayThoughts, WednesdayMotivation, FinePeopleFromKenya, BlackLivesMatter",,post
545,380,1.31195E+18,2020-10-02 08:24:35+00:00,trapping dust particulates,,,post
546,381,1.31138E+18,2020-09-30 19:14:55+00:00,"Data recent World Bank study show Lagos Nigeria residents paying high price study estimates air pollution resulted 11,200 premature deaths 2018 alone","airpollution, nigeria",,post
547,382,1.30361E+18,2020-09-09 08:31:52+00:00,Few slots remaining Follow link register,"CleanAirForAll, Nairobi, AirPollution, cleanenergy","Ngong, Kenya",post
548,383,1.30432E+18,2020-09-11 07:38:51+00:00,Happening H.E Hon Lee Kinyanjui The effects Energy Health Nexus become serious focus recent days,"REWG202, energy, AirQuality, Health, CleanAirForAll","Ngong, Kenya",post
549,384,1.31119E+18,2020-09-30 06:30:00+00:00,Emissions transport sector major contributor climate change significant impact air quality What done mitigate issue Read,"transport, ClimateChange, cleanair",,post
550,385,1.31127E+18,2020-09-30 11:59:45+00:00,LIGHT IT UP,"TheJamSession, FreshAIR, WCW, WednesdayVibes, WednesdayWisdom, WednesdayThoughts, WednesdayMotivation, FinePeopleFromKenya, BlackLivesMatter",,post
551,386,1.31127E+18,2020-09-30 11:58:12+00:00,BMO,"TheJamSession, FreshAIR, WCW, WednesdayVibes, WednesdayWisdom, WednesdayThoughts, WednesdayMotivation, FinePeopleFromKenya, BlackLivesMatter",,post
552,387,1.31195E+18,2020-10-02 08:24:35+00:00,trapping dust particulates,,,post
553,388,1.31138E+18,2020-09-30 19:14:55+00:00,"Data recent World Bank study show Lagos Nigeria residents paying high price study estimates air pollution resulted 11,200 premature deaths 2018 alone","airpollution, nigeria",,post
554,389,1.30361E+18,2020-09-09 08:31:52+00:00,Few slots remaining Follow link register,"CleanAirForAll, Nairobi, AirPollution, cleanenergy","Ngong, Kenya",post
555,390,1.30432E+18,2020-09-11 07:38:51+00:00,Happening H.E Hon Lee Kinyanjui The effects Energy Health Nexus become serious focus recent days,"REWG202, energy, AirQuality, Health, CleanAirForAll","Ngong, Kenya",post
556,391,1.31119E+18,2020-09-30 06:30:00+00:00,Emissions transport sector major contributor climate change significant impact air quality What done mitigate issue Read,"transport, ClimateChange, cleanair",,post
557,392,1.31127E+18,2020-09-30 11:59:45+00:00,LIGHT IT UP,"TheJamSession, FreshAIR, WCW, WednesdayVibes, WednesdayWisdom, WednesdayThoughts, WednesdayMotivation, FinePeopleFromKenya, BlackLivesMatter",,post
558,393,1.31127E+18,2020-09-30 11:58:12+00:00,BMO,"TheJamSession, FreshAIR, WCW, WednesdayVibes, WednesdayWisdom, WednesdayThoughts, WednesdayMotivation, FinePeopleFromKenya, BlackLivesMatter",,post
559,394,1.31195E+18,2020-10-02 08:24:35+00:00,trapping dust particulates,,,post
560,395,1.29924E+18,2020-08-28 06:39:14+00:00,The air breathe makes worry kids ’ health While many notice people care think There ’ urgent need raise among local people understand available data amp learn safety measures,"Airpollution, Kampala, Awareness, Communities",Makindye Military Baracks,post
561,396,1.29924E+18,2020-08-28 06:39:14+00:00,The air breathe makes worry kids ’ health While many notice people care think There ’ urgent need raise among local people understand available data amp learn safety measures,"Airpollution, Kampala, Awareness, Communities",Makindye Military Baracks,post
562,397,1.29924E+18,2020-08-28 06:39:14+00:00,The air breathe makes worry kids ’ health While many notice people care think There ’ urgent need raise among local people understand available data amp learn safety measures,"Airpollution, Kampala, Awareness, Communities",Makindye Military Baracks,post
563,398,1.29924E+18,2020-08-28 06:39:14+00:00,The air breathe makes worry kids ’ health While many notice people care think There ’ urgent need raise among local people understand available data amp learn safety measures,"Airpollution, Kampala, Awareness, Communities",Makindye Military Baracks,post
564,399,1.29924E+18,2020-08-28 06:39:14+00:00,The air breathe makes worry kids ’ health While many notice people care think There ’ urgent need raise among local people understand available data amp learn safety measures,"Airpollution, Kampala, Awareness, Communities",Makindye Military Baracks,post
565,400,1.29924E+18,2020-08-28 06:39:14+00:00,The air breathe makes worry kids ’ health While many notice people care think There ’ urgent need raise among local people understand available data amp learn safety measures,"Airpollution, Kampala, Awareness, Communities",Makindye Military Baracks,post
566,401,1.29924E+18,2020-08-28 06:39:14+00:00,The air breathe makes worry kids ’ health While many notice people care think There ’ urgent need raise among local people understand available data amp learn safety measures,"Airpollution, Kampala, Awareness, Communities",Makindye Military Baracks,post
567,402,1.31161E+18,2020-10-01 09:58:56+00:00,In 9/2020 E bulletin World marks backdrop ‘ forgotten 3 billion poor ’,"cleanairday, airquality, cleanairforall, EastAfrica, SDG3, SDG7, SDG11, SDG12, SDG13",,post
568,403,1.29924E+18,2020-08-28 06:39:14+00:00,The air breathe makes worry kids ’ health While many notice people care think There ’ urgent need raise among local people understand available data amp learn safety measures,"Airpollution, Kampala, Awareness, Communities",Makindye Military Baracks,post
569,404,1.31161E+18,2020-10-01 09:58:56+00:00,In 9/2020 E bulletin World marks backdrop ‘ forgotten 3 billion poor ’,"cleanairday, airquality, cleanairforall, EastAfrica, SDG3, SDG7, SDG11, SDG12, SDG13",,post
570,405,1.29924E+18,2020-08-28 06:39:14+00:00,The air breathe makes worry kids ’ health While many notice people care think There ’ urgent need raise among local people understand available data amp learn safety measures,"Airpollution, Kampala, Awareness, Communities",Makindye Military Baracks,post
571,406,1.31161E+18,2020-10-01 09:58:56+00:00,In 9/2020 E bulletin World marks backdrop ‘ forgotten 3 billion poor ’,"cleanairday, airquality, cleanairforall, EastAfrica, SDG3, SDG7, SDG11, SDG12, SDG13",,post
572,407,1.29924E+18,2020-08-28 06:39:14+00:00,The air breathe makes worry kids ’ health While many notice people care think There ’ urgent need raise among local people understand available data amp learn safety measures,"Airpollution, Kampala, Awareness, Communities",Makindye Military Baracks,post
573,408,1.31161E+18,2020-10-01 09:58:56+00:00,In 9/2020 E bulletin World marks backdrop ‘ forgotten 3 billion poor ’,"cleanairday, airquality, cleanairforall, EastAfrica, SDG3, SDG7, SDG11, SDG12, SDG13",,post
574,409,1.29924E+18,2020-08-28 06:39:14+00:00,The air breathe makes worry kids ’ health While many notice people care think There ’ urgent need raise among local people understand available data amp learn safety measures,"Airpollution, Kampala, Awareness, Communities",Makindye Military Baracks,post
575,410,1.31161E+18,2020-10-01 09:58:56+00:00,In 9/2020 E bulletin World marks backdrop ‘ forgotten 3 billion poor ’,"cleanairday, airquality, cleanairforall, EastAfrica, SDG3, SDG7, SDG11, SDG12, SDG13",,post
576,411,1.29924E+18,2020-08-28 06:39:14+00:00,The air breathe makes worry kids ’ health While many notice people care think There ’ urgent need raise among local people understand available data amp learn safety measures,"Airpollution, Kampala, Awareness, Communities",Makindye Military Baracks,post
577,412,1.31161E+18,2020-10-01 09:58:56+00:00,In 9/2020 E bulletin World marks backdrop ‘ forgotten 3 billion poor ’,"cleanairday, airquality, cleanairforall, EastAfrica, SDG3, SDG7, SDG11, SDG12, SDG13",,post
578,413,1.29924E+18,2020-08-28 06:39:14+00:00,The air breathe makes worry kids ’ health While many notice people care think There ’ urgent need raise among local people understand available data amp learn safety measures,"Airpollution, Kampala, Awareness, Communities",Makindye Military Baracks,post
579,414,1.31161E+18,2020-10-01 09:58:56+00:00,In 9/2020 E bulletin World marks backdrop ‘ forgotten 3 billion poor ’,"cleanairday, airquality, cleanairforall, EastAfrica, SDG3, SDG7, SDG11, SDG12, SDG13",,post
580,415,1.29924E+18,2020-08-28 06:39:14+00:00,The air breathe makes worry kids ’ health While many notice people care think There ’ urgent need raise among local people understand available data amp learn safety measures,"Airpollution, Kampala, Awareness, Communities",Makindye Military Baracks,post
581,416,1.31161E+18,2020-10-01 09:58:56+00:00,In 9/2020 E bulletin World marks backdrop ‘ forgotten 3 billion poor ’,"cleanairday, airquality, cleanairforall, EastAfrica, SDG3, SDG7, SDG11, SDG12, SDG13",,post
582,417,1.29924E+18,2020-08-28 06:39:14+00:00,The air breathe makes worry kids ’ health While many notice people care think There ’ urgent need raise among local people understand available data amp learn safety measures,"Airpollution, Kampala, Awareness, Communities",Makindye Military Baracks,post
583,418,1.31161E+18,2020-10-01 09:58:56+00:00,In 9/2020 E bulletin World marks backdrop ‘ forgotten 3 billion poor ’,"cleanairday, airquality, cleanairforall, EastAfrica, SDG3, SDG7, SDG11, SDG12, SDG13",,post
584,419,1.29924E+18,2020-08-28 06:39:14+00:00,The air breathe makes worry kids ’ health While many notice people care think There ’ urgent need raise among local people understand available data amp learn safety measures,"Airpollution, Kampala, Awareness, Communities",Makindye Military Baracks,post
585,420,1.31161E+18,2020-10-01 09:58:56+00:00,In 9/2020 E bulletin World marks backdrop ‘ forgotten 3 billion poor ’,"cleanairday, airquality, cleanairforall, EastAfrica, SDG3, SDG7, SDG11, SDG12, SDG13",,post
586,421,1.29924E+18,2020-08-28 06:39:14+00:00,The air breathe makes worry kids ’ health While many notice people care think There ’ urgent need raise among local people understand available data amp learn safety measures,"Airpollution, Kampala, Awareness, Communities",Makindye Military Baracks,post
587,422,1.31161E+18,2020-10-01 09:58:56+00:00,In 9/2020 E bulletin World marks backdrop ‘ forgotten 3 billion poor ’,"cleanairday, airquality, cleanairforall, EastAfrica, SDG3, SDG7, SDG11, SDG12, SDG13",,post
588,423,1.29924E+18,2020-08-28 06:39:14+00:00,The air breathe makes worry kids ’ health While many notice people care think There ’ urgent need raise among local people understand available data amp learn safety measures,"Airpollution, Kampala, Awareness, Communities",Makindye Military Baracks,post
589,424,1.31161E+18,2020-10-01 09:58:56+00:00,In 9/2020 E bulletin World marks backdrop ‘ forgotten 3 billion poor ’,"cleanairday, airquality, cleanairforall, EastAfrica, SDG3, SDG7, SDG11, SDG12, SDG13",,post
590,425,1.29924E+18,2020-08-28 06:39:14+00:00,The air breathe makes worry kids ’ health While many notice people care think There ’ urgent need raise among local people understand available data amp learn safety measures,"Airpollution, Kampala, Awareness, Communities",Makindye Military Baracks,post
591,426,1.31161E+18,2020-10-01 09:58:56+00:00,In 9/2020 E bulletin World marks backdrop ‘ forgotten 3 billion poor ’,"cleanairday, airquality, cleanairforall, EastAfrica, SDG3, SDG7, SDG11, SDG12, SDG13",,post
