,Unnamed: 0,id,created_at,clean_text,hashtags,place,timeline
355,190,1.3112E+18,2020-09-30 07:10:17+00:00,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
356,191,1.31121E+18,2020-09-30 07:30:58+00:00,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,"ClimateChange, AirPollution",,post
357,192,1.3112E+18,2020-09-30 07:10:17+00:00,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
358,193,1.31121E+18,2020-09-30 07:30:58+00:00,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,"ClimateChange, AirPollution",,post
359,194,1.3112E+18,2020-09-30 07:10:17+00:00,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
360,195,1.30325E+18,2020-09-08 08:41:42+00:00,Air pollution causes respiratory heart problems And already pre-existing respiratory conditions asthma pneumonia suffer Prevent air pollution,"CleanAirForAll, CleanAirJoburg, CleanAir, SolutionToPollution","Johannesburg, South Africa",post
361,196,1.30286E+18,2020-09-07 06:47:39+00:00,The UN General Assembly adopted resolution designate today 7th September International Day Clean Air Blue Skies part effort improve air quality awareness,"CleanAirForAll, CleanAir, worldcleanairday, CleanTheAir, GlobalGoals","Johannesburg, South Africa",post
362,197,1.31121E+18,2020-09-30 07:30:58+00:00,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,"ClimateChange, AirPollution",,post
363,198,1.3112E+18,2020-09-30 07:10:17+00:00,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
364,199,1.30325E+18,2020-09-08 08:41:42+00:00,Air pollution causes respiratory heart problems And already pre-existing respiratory conditions asthma pneumonia suffer Prevent air pollution,"CleanAirForAll, CleanAirJoburg, CleanAir, SolutionToPollution","Johannesburg, South Africa",post
365,200,1.30286E+18,2020-09-07 06:47:39+00:00,The UN General Assembly adopted resolution designate today 7th September International Day Clean Air Blue Skies part effort improve air quality awareness,"CleanAirForAll, CleanAir, worldcleanairday, CleanTheAir, GlobalGoals","Johannesburg, South Africa",post
366,201,1.31121E+18,2020-09-30 07:30:58+00:00,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,"ClimateChange, AirPollution",,post
367,202,1.3112E+18,2020-09-30 07:10:17+00:00,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
