,id,created_at,clean_text,hashtags,place,timeline
5,1302895825769689088,Mon Sep 07 09:05:46 +0000 2020,What contribution especially Take Action today,"WorldCleanAirDay, StareDownOnPollution, AirPollution, Sustainable, Cycling","Lagos, Nigeria",post
6,1302893126495932416,Mon Sep 07 08:55:02 +0000 2020,Air pollution threat sustainable development simultaneously affects various social environmental amp economic criteria linked equitable human development good health food security gender equality climate stability amp poverty reduction,WorldCleanAirDay,,post
7,1302895825769689088,Mon Sep 07 09:05:46 +0000 2020,What contribution especially Take Action today,"WorldCleanAirDay, StareDownOnPollution, AirPollution, Sustainable, Cycling","Lagos, Nigeria",post
8,1302893126495932416,Mon Sep 07 08:55:02 +0000 2020,Air pollution threat sustainable development simultaneously affects various social environmental amp economic criteria linked equitable human development good health food security gender equality climate stability amp poverty reduction,WorldCleanAirDay,,post
9,1302895825769689088,Mon Sep 07 09:05:46 +0000 2020,What contribution especially Take Action today,"WorldCleanAirDay, StareDownOnPollution, AirPollution, Sustainable, Cycling","Lagos, Nigeria",post
10,1302893126495932416,Mon Sep 07 08:55:02 +0000 2020,Air pollution threat sustainable development simultaneously affects various social environmental amp economic criteria linked equitable human development good health food security gender equality climate stability amp poverty reduction,WorldCleanAirDay,,post
11,1302895825769689088,Mon Sep 07 09:05:46 +0000 2020,What contribution especially Take Action today,"WorldCleanAirDay, StareDownOnPollution, AirPollution, Sustainable, Cycling","Lagos, Nigeria",post
12,1302893126495932416,Mon Sep 07 08:55:02 +0000 2020,Air pollution threat sustainable development simultaneously affects various social environmental amp economic criteria linked equitable human development good health food security gender equality climate stability amp poverty reduction,WorldCleanAirDay,,post
13,1302895825769689088,Mon Sep 07 09:05:46 +0000 2020,What contribution especially Take Action today,"WorldCleanAirDay, StareDownOnPollution, AirPollution, Sustainable, Cycling","Lagos, Nigeria",post
14,1296446705920081922,Thu Aug 20 13:59:16 +0000 2020,Throw back Thursday We Osten Lagos Nigeria,"OstenLaboratory, Ostenlab, airquality, airqualitymeasurement, environmentalanalysis, analysis","Lagos, Nigeria",post
15,1309419842785759233,Fri Sep 25 09:09:53 +0000 2020,Ascertaining Niger delta Nigeria Send thoughts ⁦⁩ nigerrescue.com,AirQuality,,post
16,1302893126495932416,Mon Sep 07 08:55:02 +0000 2020,Air pollution threat sustainable development simultaneously affects various social environmental amp economic criteria linked equitable human development good health food security gender equality climate stability amp poverty reduction,WorldCleanAirDay,,post
17,1302895825769689088,Mon Sep 07 09:05:46 +0000 2020,What contribution especially Take Action today,"WorldCleanAirDay, StareDownOnPollution, AirPollution, Sustainable, Cycling","Lagos, Nigeria",post
18,1296446705920081922,Thu Aug 20 13:59:16 +0000 2020,Throw back Thursday We Osten Lagos Nigeria,"OstenLaboratory, Ostenlab, airquality, airqualitymeasurement, environmentalanalysis, analysis","Lagos, Nigeria",post
19,1309419842785759233,Fri Sep 25 09:09:53 +0000 2020,Ascertaining Niger delta Nigeria Send thoughts ⁦⁩ nigerrescue.com,AirQuality,,post
20,1302893126495932416,Mon Sep 07 08:55:02 +0000 2020,Air pollution threat sustainable development simultaneously affects various social environmental amp economic criteria linked equitable human development good health food security gender equality climate stability amp poverty reduction,WorldCleanAirDay,,post
21,1302895825769689088,Mon Sep 07 09:05:46 +0000 2020,What contribution especially Take Action today,"WorldCleanAirDay, StareDownOnPollution, AirPollution, Sustainable, Cycling","Lagos, Nigeria",post
22,1296446705920081922,Thu Aug 20 13:59:16 +0000 2020,Throw back Thursday We Osten Lagos Nigeria,"OstenLaboratory, Ostenlab, airquality, airqualitymeasurement, environmentalanalysis, analysis","Lagos, Nigeria",post
23,1309419842785759233,Fri Sep 25 09:09:53 +0000 2020,Ascertaining Niger delta Nigeria Send thoughts ⁦⁩ nigerrescue.com,AirQuality,,post
24,1302893126495932416,Mon Sep 07 08:55:02 +0000 2020,Air pollution threat sustainable development simultaneously affects various social environmental amp economic criteria linked equitable human development good health food security gender equality climate stability amp poverty reduction,WorldCleanAirDay,,post
25,1302895825769689088,Mon Sep 07 09:05:46 +0000 2020,What contribution especially Take Action today,"WorldCleanAirDay, StareDownOnPollution, AirPollution, Sustainable, Cycling","Lagos, Nigeria",post
26,1296446705920081922,Thu Aug 20 13:59:16 +0000 2020,Throw back Thursday We Osten Lagos Nigeria,"OstenLaboratory, Ostenlab, airquality, airqualitymeasurement, environmentalanalysis, analysis","Lagos, Nigeria",post
27,1309419842785759233,Fri Sep 25 09:09:53 +0000 2020,Ascertaining Niger delta Nigeria Send thoughts ⁦⁩ nigerrescue.com,AirQuality,,post
28,1311026294503727108,Tue Sep 29 19:33:20 +0000 2020,Everywhere calm No biggie Mary Martha Rema ...,freshair,,post
29,1303751165977464832,Wed Sep 09 17:44:35 +0000 2020,You get IPIP Receiver abi plenty updates already dy chock,"parachute, oxygenmask, FreshAIR","Lagos, Nigeria",post
30,1289988191605288960,Sun Aug 02 18:15:26 +0000 2020,She love colours ️ …,"love, fashionista, lagosboutique, african, follow, ankarafashion, nigerianwomen, naijafashiondaily, ankara, freshair, nigerianweddings, nigerianbusiness","Lagos, Nigeria",post
31,1289994735000735744,Sun Aug 02 18:41:26 +0000 2020,Those High waist pants 🤩🤩 love …,"fashionista, lagosboutique, african, follow, ankarafashion, nigerianwomen, naijafashiondaily, ankara, freshair, nigerianweddings, nigerianbusiness","Lagos, Nigeria",post
32,1302893126495932416,Mon Sep 07 08:55:02 +0000 2020,Air pollution threat sustainable development simultaneously affects various social environmental amp economic criteria linked equitable human development good health food security gender equality climate stability amp poverty reduction,WorldCleanAirDay,,post
33,1302895825769689088,Mon Sep 07 09:05:46 +0000 2020,What contribution especially Take Action today,"WorldCleanAirDay, StareDownOnPollution, AirPollution, Sustainable, Cycling","Lagos, Nigeria",post
