,id,created_at,clean_text,hashtags,place,timeline
209,1.30325E+18,Tue Sep 08 08:41:42 +0000 2020,Air pollution causes respiratory heart problems And already pre-existing respiratory conditions asthma pneumonia suffer Prevent air pollution,"CleanAirForAll, CleanAirJoburg, CleanAir, SolutionToPollution","Johannesburg, South Africa",post
210,1.30286E+18,Mon Sep 07 06:47:39 +0000 2020,The UN General Assembly adopted resolution designate today 7th September International Day Clean Air Blue Skies part effort improve air quality awareness,"CleanAirForAll, CleanAir, worldcleanairday, CleanTheAir, GlobalGoals","Johannesburg, South Africa",post
211,1.29293E+18,Mon Aug 10 20:59:00 +0000 2020,Monday Movements OutDoor Chapterz Part 1 Hike Like Sunday wit Homeyz Modderfontein Reserve,"outdoors, life, living, Family, friends, trips, tripstagram, photoshoot, freshair","Johannesburg, South Africa",post
212,1.3044E+18,Fri Sep 11 13:02:17 +0000 2020,Another awesome day saddle Gauteng,"mtb, mtblife, mtbcannondale, sunrise, sunshine, sun, freshair, freshairtherapy, cannondale, cycle, cycling","Randburg, South Africa",post
213,1.30954E+18,Fri Sep 25 17:05:08 +0000 2020,Safer travel,,,post
214,1.30976E+18,Sat Sep 26 07:57:33 +0000 2020,Airlines industry THE MAIN VECTOR spread COVID These measures paltry gestures The fact airline industry know airborne spread particulates done little prevent pure negligence Get real,,,post
215,1.31121E+18,Wed Sep 30 07:30:58 +0000 2020,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,"ClimateChange, AirPollution",,post
216,1.3112E+18,Wed Sep 30 07:10:17 +0000 2020,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
217,1.30325E+18,Tue Sep 08 08:41:42 +0000 2020,Air pollution causes respiratory heart problems And already pre-existing respiratory conditions asthma pneumonia suffer Prevent air pollution,"CleanAirForAll, CleanAirJoburg, CleanAir, SolutionToPollution","Johannesburg, South Africa",post
218,1.30286E+18,Mon Sep 07 06:47:39 +0000 2020,The UN General Assembly adopted resolution designate today 7th September International Day Clean Air Blue Skies part effort improve air quality awareness,"CleanAirForAll, CleanAir, worldcleanairday, CleanTheAir, GlobalGoals","Johannesburg, South Africa",post
219,1.29293E+18,Mon Aug 10 20:59:00 +0000 2020,Monday Movements OutDoor Chapterz Part 1 Hike Like Sunday wit Homeyz Modderfontein Reserve,"outdoors, life, living, Family, friends, trips, tripstagram, photoshoot, freshair","Johannesburg, South Africa",post
220,1.3044E+18,Fri Sep 11 13:02:17 +0000 2020,Another awesome day saddle Gauteng,"mtb, mtblife, mtbcannondale, sunrise, sunshine, sun, freshair, freshairtherapy, cannondale, cycle, cycling","Randburg, South Africa",post
221,1.30954E+18,Fri Sep 25 17:05:08 +0000 2020,Safer travel,,,post
222,1.30976E+18,Sat Sep 26 07:57:33 +0000 2020,Airlines industry THE MAIN VECTOR spread COVID These measures paltry gestures The fact airline industry know airborne spread particulates done little prevent pure negligence Get real,,,post
223,1.31121E+18,Wed Sep 30 07:30:58 +0000 2020,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,"ClimateChange, AirPollution",,post
224,1.3112E+18,Wed Sep 30 07:10:17 +0000 2020,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
225,1.30325E+18,Tue Sep 08 08:41:42 +0000 2020,Air pollution causes respiratory heart problems And already pre-existing respiratory conditions asthma pneumonia suffer Prevent air pollution,"CleanAirForAll, CleanAirJoburg, CleanAir, SolutionToPollution","Johannesburg, South Africa",post
226,1.30286E+18,Mon Sep 07 06:47:39 +0000 2020,The UN General Assembly adopted resolution designate today 7th September International Day Clean Air Blue Skies part effort improve air quality awareness,"CleanAirForAll, CleanAir, worldcleanairday, CleanTheAir, GlobalGoals","Johannesburg, South Africa",post
227,1.29293E+18,Mon Aug 10 20:59:00 +0000 2020,Monday Movements OutDoor Chapterz Part 1 Hike Like Sunday wit Homeyz Modderfontein Reserve,"outdoors, life, living, Family, friends, trips, tripstagram, photoshoot, freshair","Johannesburg, South Africa",post
228,1.3044E+18,Fri Sep 11 13:02:17 +0000 2020,Another awesome day saddle Gauteng,"mtb, mtblife, mtbcannondale, sunrise, sunshine, sun, freshair, freshairtherapy, cannondale, cycle, cycling","Randburg, South Africa",post
229,1.30954E+18,Fri Sep 25 17:05:08 +0000 2020,Safer travel,,,post
230,1.30976E+18,Sat Sep 26 07:57:33 +0000 2020,Airlines industry THE MAIN VECTOR spread COVID These measures paltry gestures The fact airline industry know airborne spread particulates done little prevent pure negligence Get real,,,post
231,1.31121E+18,Wed Sep 30 07:30:58 +0000 2020,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,"ClimateChange, AirPollution",,post
232,1.3112E+18,Wed Sep 30 07:10:17 +0000 2020,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
233,1.30325E+18,Tue Sep 08 08:41:42 +0000 2020,Air pollution causes respiratory heart problems And already pre-existing respiratory conditions asthma pneumonia suffer Prevent air pollution,"CleanAirForAll, CleanAirJoburg, CleanAir, SolutionToPollution","Johannesburg, South Africa",post
234,1.30286E+18,Mon Sep 07 06:47:39 +0000 2020,The UN General Assembly adopted resolution designate today 7th September International Day Clean Air Blue Skies part effort improve air quality awareness,"CleanAirForAll, CleanAir, worldcleanairday, CleanTheAir, GlobalGoals","Johannesburg, South Africa",post
235,1.29293E+18,Mon Aug 10 20:59:00 +0000 2020,Monday Movements OutDoor Chapterz Part 1 Hike Like Sunday wit Homeyz Modderfontein Reserve,"outdoors, life, living, Family, friends, trips, tripstagram, photoshoot, freshair","Johannesburg, South Africa",post
236,1.3044E+18,Fri Sep 11 13:02:17 +0000 2020,Another awesome day saddle Gauteng,"mtb, mtblife, mtbcannondale, sunrise, sunshine, sun, freshair, freshairtherapy, cannondale, cycle, cycling","Randburg, South Africa",post
237,1.30954E+18,Fri Sep 25 17:05:08 +0000 2020,Safer travel,,,post
238,1.30976E+18,Sat Sep 26 07:57:33 +0000 2020,Airlines industry THE MAIN VECTOR spread COVID These measures paltry gestures The fact airline industry know airborne spread particulates done little prevent pure negligence Get real,,,post
239,1.31121E+18,Wed Sep 30 07:30:58 +0000 2020,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,"ClimateChange, AirPollution",,post
240,1.3112E+18,Wed Sep 30 07:10:17 +0000 2020,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
241,1.30325E+18,Tue Sep 08 08:41:42 +0000 2020,Air pollution causes respiratory heart problems And already pre-existing respiratory conditions asthma pneumonia suffer Prevent air pollution,"CleanAirForAll, CleanAirJoburg, CleanAir, SolutionToPollution","Johannesburg, South Africa",post
242,1.30286E+18,Mon Sep 07 06:47:39 +0000 2020,The UN General Assembly adopted resolution designate today 7th September International Day Clean Air Blue Skies part effort improve air quality awareness,"CleanAirForAll, CleanAir, worldcleanairday, CleanTheAir, GlobalGoals","Johannesburg, South Africa",post
243,1.29293E+18,Mon Aug 10 20:59:00 +0000 2020,Monday Movements OutDoor Chapterz Part 1 Hike Like Sunday wit Homeyz Modderfontein Reserve,"outdoors, life, living, Family, friends, trips, tripstagram, photoshoot, freshair","Johannesburg, South Africa",post
244,1.3044E+18,Fri Sep 11 13:02:17 +0000 2020,Another awesome day saddle Gauteng,"mtb, mtblife, mtbcannondale, sunrise, sunshine, sun, freshair, freshairtherapy, cannondale, cycle, cycling","Randburg, South Africa",post
245,1.30954E+18,Fri Sep 25 17:05:08 +0000 2020,Safer travel,,,post
246,1.30976E+18,Sat Sep 26 07:57:33 +0000 2020,Airlines industry THE MAIN VECTOR spread COVID These measures paltry gestures The fact airline industry know airborne spread particulates done little prevent pure negligence Get real,,,post
247,1.31121E+18,Wed Sep 30 07:30:58 +0000 2020,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,"ClimateChange, AirPollution",,post
248,1.3112E+18,Wed Sep 30 07:10:17 +0000 2020,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
249,1.30325E+18,Tue Sep 08 08:41:42 +0000 2020,Air pollution causes respiratory heart problems And already pre-existing respiratory conditions asthma pneumonia suffer Prevent air pollution,"CleanAirForAll, CleanAirJoburg, CleanAir, SolutionToPollution","Johannesburg, South Africa",post
250,1.30286E+18,Mon Sep 07 06:47:39 +0000 2020,The UN General Assembly adopted resolution designate today 7th September International Day Clean Air Blue Skies part effort improve air quality awareness,"CleanAirForAll, CleanAir, worldcleanairday, CleanTheAir, GlobalGoals","Johannesburg, South Africa",post
251,1.29293E+18,Mon Aug 10 20:59:00 +0000 2020,Monday Movements OutDoor Chapterz Part 1 Hike Like Sunday wit Homeyz Modderfontein Reserve,"outdoors, life, living, Family, friends, trips, tripstagram, photoshoot, freshair","Johannesburg, South Africa",post
